sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961059E2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2015-07-07T15:52:51.000+00:00,37.802620023,-122.298432927,6.85
2015-07-07T15:52:52.000+00:00,37.802620023,-122.298432927,7.31
2015-07-07T15:52:53.000+00:00,37.802620023,-122.298432927,8.44
2015-07-07T15:52:54.000+00:00,37.802620023,-122.298432927,8.11
2015-07-07T15:52:55.000+00:00,37.802620023,-122.298432927,7.42
2015-07-07T15:52:56.000+00:00,37.802620023,-122.298432927,6.69
2015-07-07T15:52:57.000+00:00,37.802620023,-122.298432927,6.23
2015-07-07T15:52:58.000+00:00,37.802620023,-122.298432927,6.33
2015-07-07T15:52:59.000+00:00,37.802620023,-122.298432927,5.72
2015-07-07T15:53:00.000+00:00,37.802620023,-122.298432927,5.31
2015-07-07T15:53:01.000+00:00,37.802693043,-122.298689294,5.72
2015-07-07T15:53:02.000+00:00,37.802688165,-122.298682088,5.77
2015-07-07T15:53:03.000+00:00,37.802685471,-122.298674746,5.46
2015-07-07T15:53:04.000+00:00,37.802681804,-122.298667267,5.46
2015-07-07T15:53:05.000+00:00,37.802678405,-122.298660943,5.97
2015-07-07T15:53:06.000+00:00,37.802672935,-122.298656557,5.72
2015-07-07T15:53:07.000+00:00,37.802666168,-122.298653938,5.16
2015-07-07T15:53:08.000+00:00,37.802659871,-122.298651474,5.06
2015-07-07T15:53:09.000+00:00,37.802655351,-122.298649755,4.81
2015-07-07T15:53:10.000+00:00,37.802617783,-122.298634235,4.71
2015-07-07T15:53:11.000+00:00,37.802621356,-122.298638298,5.21
2015-07-07T15:53:12.000+00:00,37.80262694,-122.298629178,5.41
2015-07-07T15:53:13.000+00:00,37.802627724,-122.298629227,5.92
2015-07-07T15:53:14.000+00:00,37.802632745,-122.298633302,6.38
2015-07-07T15:53:15.000+00:00,37.802632745,-122.298633302,6.02
2015-07-07T15:53:16.000+00:00,37.802632745,-122.298633302,5.97
2015-07-07T15:53:17.000+00:00,37.802632745,-122.298633302,5.97
2015-07-07T15:53:18.000+00:00,37.802632745,-122.298633302,5.62
2015-07-07T15:53:19.000+00:00,37.802632745,-122.298633302,6.18
2015-07-07T15:53:20.000+00:00,37.802632745,-122.298633302,6.23
2015-07-07T15:53:21.000+00:00,37.802632745,-122.298633302,5.92
2015-07-07T15:53:22.000+00:00,37.802632745,-122.298633302,5.77
2015-07-07T15:53:23.000+00:00,37.802632745,-122.298633302,5.82
2015-07-07T15:53:24.000+00:00,37.802632745,-122.298633302,6.07
2015-07-07T15:53:25.000+00:00,37.802632745,-122.298633302,5.92
2015-07-07T15:53:26.000+00:00,37.802653596,-122.298618214,5.56
2015-07-07T15:53:27.000+00:00,37.802653596,-122.298618214,5.31
2015-07-07T15:53:28.000+00:00,37.802653596,-122.298618214,5.31
2015-07-07T15:53:29.000+00:00,37.802653596,-122.298618214,5.16
2015-07-07T15:53:30.000+00:00,37.802653596,-122.298618214,5.16
2015-07-07T15:53:31.000+00:00,37.802623467,-122.2986265,5.06
2015-07-07T15:53:32.000+00:00,37.802704488,-122.298653591,5.46
2015-07-07T15:53:33.000+00:00,37.802708245,-122.29867019,5.72
2015-07-07T15:53:34.000+00:00,37.80270372,-122.298691421,6.18
2015-07-07T15:53:35.000+00:00,37.802702064,-122.298709459,5.92
2015-07-07T15:53:36.000+00:00,37.80269952,-122.298723289,5.97
2015-07-07T15:53:37.000+00:00,37.802700643,-122.298738327,6.33
2015-07-07T15:53:38.000+00:00,37.802704361,-122.298748392,6.02
2015-07-07T15:53:39.000+00:00,37.802707079,-122.298757774,6.43
2015-07-07T15:53:40.000+00:00,37.802711317,-122.298761395,7.31
2015-07-07T15:53:41.000+00:00,37.802718255,-122.298768133,7.31
2015-07-07T15:53:42.000+00:00,37.802722569,-122.298781026,7.26
2015-07-07T15:53:43.000+00:00,37.802723812,-122.298791719,7.31
2015-07-07T15:53:44.000+00:00,37.802724444,-122.29879741,6.59
2015-07-07T15:53:45.000+00:00,37.802725661,-122.298808509,6.18
2015-07-07T15:53:46.000+00:00,37.80272877,-122.298822646,5.87
2015-07-07T15:53:47.000+00:00,37.802732448,-122.298835753,5.92
2015-07-07T15:53:48.000+00:00,37.802738736,-122.298842357,6.18
2015-07-07T15:53:49.000+00:00,37.802742899,-122.298850462,5.97
2015-07-07T15:53:50.000+00:00,37.802745781,-122.298857483,5.82
2015-07-07T15:53:51.000+00:00,37.802744618,-122.298865861,5.26
2015-07-07T15:53:52.000+00:00,37.802743608,-122.298876005,5.26
2015-07-07T15:53:53.000+00:00,37.802742126,-122.298890703,4.91
2015-07-07T15:53:54.000+00:00,37.802743638,-122.298907022,5.46
2015-07-07T15:53:55.000+00:00,37.802746626,-122.298918078,5.21
2015-07-07T15:53:56.000+00:00,37.802749204,-122.298930241,5.26
2015-07-07T15:53:57.000+00:00,37.802749042,-122.298941281,4.91
2015-07-07T15:53:58.000+00:00,37.802748353,-122.298952263,5.01
2015-07-07T15:53:59.000+00:00,37.802752801,-122.298961614,4.91
2015-07-07T15:54:00.000+00:00,37.802758916,-122.298970247,5.26
2015-07-07T15:54:01.000+00:00,37.802762473,-122.298981376,5.56
2015-07-07T15:54:02.000+00:00,37.802764359,-122.298996854,6.02
2015-07-07T15:54:03.000+00:00,37.802765444,-122.299010296,5.46
2015-07-07T15:54:04.000+00:00,37.802766528,-122.299023123,5.56
2015-07-07T15:54:05.000+00:00,37.802768382,-122.299033712,5.36
2015-07-07T15:54:06.000+00:00,37.802768773,-122.299046694,4.96
2015-07-07T15:54:07.000+00:00,37.802772277,-122.299057178,5.36
2015-07-07T15:54:08.000+00:00,37.802777574,-122.299067928,4.86
2015-07-07T15:54:09.000+00:00,37.802781454,-122.299080746,4.91
2015-07-07T15:54:10.000+00:00,37.80278706,-122.299091309,4.41
2015-07-07T15:54:11.000+00:00,37.802794226,-122.299102381,4.16
2015-07-07T15:54:12.000+00:00,37.802801573,-122.299111759,3.76
2015-07-07T15:54:13.000+00:00,37.802804652,-122.29912181,3.37
2015-07-07T15:54:14.000+00:00,37.802807659,-122.29913367,3.42
2015-07-07T15:54:15.000+00:00,37.802810428,-122.299144042,3.27
2015-07-07T15:54:16.000+00:00,37.802812566,-122.299154306,3.37
2015-07-07T15:54:17.000+00:00,37.802815307,-122.299163333,3.46
2015-07-07T15:54:18.000+00:00,37.802819495,-122.299171974,3.51
2015-07-07T15:54:19.000+00:00,37.802824528,-122.299181341,3.32
2015-07-07T15:54:20.000+00:00,37.802829702,-122.299193637,3.37
2015-07-07T15:54:21.000+00:00,37.802835118,-122.299207081,3.81
2015-07-07T15:54:22.000+00:00,37.802839993,-122.299220055,3.91
2015-07-07T15:54:23.000+00:00,37.802848384,-122.299227688,4.76
2015-07-07T15:54:24.000+00:00,37.80285582,-122.29923492,4.26
2015-07-07T15:54:25.000+00:00,37.802864261,-122.299244678,3.86
2015-07-07T15:54:26.000+00:00,37.802866406,-122.29925706,4.26
2015-07-07T15:54:27.000+00:00,37.802870487,-122.299265836,4.46
2015-07-07T15:54:28.000+00:00,37.802874384,-122.29927545,4.56
2015-07-07T15:54:29.000+00:00,37.802876116,-122.299284973,5.56
2015-07-07T15:54:30.000+00:00,37.802873927,-122.299296833,5.21
2015-07-07T15:54:31.000+00:00,37.802870025,-122.299311057,5.06
2015-07-07T15:54:32.000+00:00,37.802867599,-122.299327544,4.86
2015-07-07T15:54:33.000+00:00,37.802869819,-122.299343101,5.56
2015-07-07T15:54:34.000+00:00,37.80286883,-122.299353446,5.01
2015-07-07T15:54:35.000+00:00,37.802867642,-122.299361971,4.71
2015-07-07T15:54:36.000+00:00,37.802868668,-122.299372238,4.46
2015-07-07T15:54:37.000+00:00,37.802871082,-122.299381719,4.41
2015-07-07T15:54:38.000+00:00,37.802876204,-122.299394574,4.36
2015-07-07T15:54:39.000+00:00,37.802882781,-122.299407708,3.91
2015-07-07T15:54:40.000+00:00,37.802888889,-122.299420664,3.56
2015-07-07T15:54:41.000+00:00,37.802889631,-122.299435324,3.86
2015-07-07T15:54:42.000+00:00,37.802892204,-122.299447915,3.76
2015-07-07T15:54:43.000+00:00,37.802895512,-122.299459848,3.96
2015-07-07T15:54:44.000+00:00,37.802898297,-122.299469279,4.21
2015-07-07T15:54:45.000+00:00,37.8029068,-122.299474649,4.41
2015-07-07T15:54:46.000+00:00,37.802911119,-122.299478496,4.96
2015-07-07T15:54:47.000+00:00,37.802912615,-122.29948523,5.11
2015-07-07T15:54:48.000+00:00,37.802911715,-122.299494128,5.21
2015-07-07T15:54:49.000+00:00,37.802913094,-122.299501605,5.11
2015-07-07T15:54:50.000+00:00,37.802915281,-122.299509635,5.26
2015-07-07T15:54:51.000+00:00,37.802918519,-122.2995179,5.21
2015-07-07T15:54:52.000+00:00,37.802921784,-122.299532572,5.36
2015-07-07T15:54:53.000+00:00,37.802928324,-122.299549951,5.31
2015-07-07T15:54:54.000+00:00,37.802932716,-122.299563415,4.91
2015-07-07T15:54:55.000+00:00,37.802938707,-122.299575806,5.06
2015-07-07T15:54:56.000+00:00,37.802941876,-122.299584356,5.36
2015-07-07T15:54:57.000+00:00,37.802945866,-122.299593654,5.06
2015-07-07T15:54:58.000+00:00,37.802950866,-122.299606601,5.26
2015-07-07T15:54:59.000+00:00,37.802956655,-122.299617171,5.21
2015-07-07T15:55:00.000+00:00,37.802962895,-122.299626613,5.16
2015-07-07T15:55:01.000+00:00,37.802969637,-122.299637717,4.81
2015-07-07T15:55:02.000+00:00,37.802975964,-122.299652404,5.26
2015-07-07T15:55:03.000+00:00,37.802982945,-122.299665448,4.91
2015-07-07T15:55:04.000+00:00,37.802989246,-122.299671864,4.91
2015-07-07T15:55:05.000+00:00,37.803001014,-122.299679685,4.51
2015-07-07T15:55:06.000+00:00,37.803011387,-122.299682836,4.56
2015-07-07T15:55:07.000+00:00,37.803020911,-122.299687353,4.91
2015-07-07T15:55:08.000+00:00,37.803024507,-122.299695245,4.61
2015-07-07T15:55:09.000+00:00,37.803020805,-122.299706947,4.41
2015-07-07T15:55:10.000+00:00,37.803015173,-122.299716653,4.01
2015-07-07T15:55:11.000+00:00,37.803011506,-122.299725964,4.51
2015-07-07T15:55:12.000+00:00,37.803014312,-122.29973642,4.61
2015-07-07T15:55:13.000+00:00,37.803020136,-122.299744793,4.26
2015-07-07T15:55:14.000+00:00,37.803026064,-122.299748941,3.81
2015-07-07T15:55:15.000+00:00,37.803035682,-122.299752834,3.61
2015-07-07T15:55:16.000+00:00,37.80304461,-122.299760695,4.21
2015-07-07T15:55:17.000+00:00,37.803054689,-122.29977204,4.06
2015-07-07T15:55:18.000+00:00,37.803061248,-122.299783867,3.81
2015-07-07T15:55:19.000+00:00,37.803066621,-122.299798233,4.01
2015-07-07T15:55:20.000+00:00,37.803073388,-122.299812313,4.11
2015-07-07T15:55:21.000+00:00,37.803081013,-122.299829032,4.01
2015-07-07T15:55:22.000+00:00,37.803085482,-122.299842152,3.96
2015-07-07T15:55:23.000+00:00,37.803089543,-122.299852546,3.71
2015-07-07T15:55:24.000+00:00,37.803094208,-122.299864787,3.76
2015-07-07T15:55:25.000+00:00,37.803098749,-122.299875652,4.46
2015-07-07T15:55:26.000+00:00,37.803102359,-122.299886041,4.41
2015-07-07T15:55:27.000+00:00,37.803106823,-122.299899414,5.41
2015-07-07T15:55:28.000+00:00,37.803109847,-122.299913997,5.26
2015-07-07T15:55:29.000+00:00,37.80311264,-122.299924859,5.06
2015-07-07T15:55:30.000+00:00,37.8031163,-122.299934904,5.06
2015-07-07T15:55:31.000+00:00,37.803122172,-122.299945304,5.72
2015-07-07T15:55:32.000+00:00,37.803135598,-122.299964392,6.28
2015-07-07T15:55:33.000+00:00,37.803141012,-122.299973016,6.69
2015-07-07T15:55:34.000+00:00,37.803141012,-122.299973016,7.37
2015-07-07T15:55:35.000+00:00,37.803146692,-122.299982081,6.85
2015-07-07T15:55:36.000+00:00,37.803152933,-122.299992437,6.23
2015-07-07T15:55:37.000+00:00,37.803163219,-122.300008358,6.07
2015-07-07T15:55:38.000+00:00,37.803163219,-122.300008358,5.62
2015-07-07T15:55:39.000+00:00,37.803169299,-122.300017324,5.21
2015-07-07T15:55:40.000+00:00,37.803173358,-122.300023309,4.71
2015-07-07T15:55:41.000+00:00,37.80317844,-122.300032401,4.41
2015-07-07T15:55:42.000+00:00,37.80317844,-122.300032401,4.51
2015-07-07T15:55:43.000+00:00,37.803186155,-122.300040342,4.76
2015-07-07T15:55:44.000+00:00,37.803194097,-122.300048158,4.51
2015-07-07T15:55:45.000+00:00,37.803203654,-122.30005568,4.71
2015-07-07T15:55:46.000+00:00,37.803218491,-122.300065265,4.56
2015-07-07T15:55:47.000+00:00,37.803227143,-122.300071618,4.31
2015-07-07T15:55:48.000+00:00,37.803234604,-122.300082367,4.76
2015-07-07T15:55:49.000+00:00,37.803241793,-122.300088641,4.41
2015-07-07T15:55:50.000+00:00,37.803250091,-122.300095335,4.36
2015-07-07T15:55:51.000+00:00,37.803259499,-122.300102653,3.96
2015-07-07T15:55:52.000+00:00,37.803270176,-122.300109158,3.56
2015-07-07T15:55:53.000+00:00,37.803279859,-122.300116261,3.37
2015-07-07T15:55:54.000+00:00,37.803289276,-122.300119324,3.17
2015-07-07T15:55:55.000+00:00,37.803289276,-122.300119324,2.98
2015-07-07T15:55:56.000+00:00,37.803307083,-122.300121755,3.61
2015-07-07T15:55:57.000+00:00,37.803318364,-122.300126059,3.76
2015-07-07T15:55:58.000+00:00,37.80332873,-122.300134802,3.66
2015-07-07T15:55:59.000+00:00,37.803337486,-122.300147565,3.66
2015-07-07T15:56:00.000+00:00,37.803346912,-122.300157,3.81
2015-07-07T15:56:01.000+00:00,37.803355669,-122.300163472,3.81
2015-07-07T15:56:02.000+00:00,37.803363721,-122.300170989,3.66
2015-07-07T15:56:03.000+00:00,37.803374474,-122.300177107,3.42
2015-07-07T15:56:04.000+00:00,37.803387806,-122.300183095,3.03
2015-07-07T15:56:05.000+00:00,37.803400522,-122.300187427,2.74
2015-07-07T15:56:06.000+00:00,37.803414481,-122.300190103,2.55
2015-07-07T15:56:07.000+00:00,37.803427373,-122.300192687,2.37
2015-07-07T15:56:08.000+00:00,37.803436768,-122.300194272,2.28
2015-07-07T15:56:09.000+00:00,37.803448789,-122.300195645,2.55
2015-07-07T15:56:10.000+00:00,37.803460741,-122.300197518,2.51
2015-07-07T15:56:11.000+00:00,37.803470409,-122.300199283,2.51
2015-07-07T15:56:12.000+00:00,37.803480508,-122.300199029,3.03
2015-07-07T15:56:13.000+00:00,37.803489769,-122.300196613,3.08
2015-07-07T15:56:14.000+00:00,37.803498392,-122.30019483,2.74
2015-07-07T15:56:15.000+00:00,37.803505934,-122.300192289,2.69
2015-07-07T15:56:16.000+00:00,37.803514301,-122.300196011,2.74
2015-07-07T15:56:17.000+00:00,37.803520224,-122.300200077,2.65
2015-07-07T15:56:18.000+00:00,37.8035274,-122.300208459,2.74
2015-07-07T15:56:19.000+00:00,37.803531751,-122.30021595,3.12
2015-07-07T15:56:20.000+00:00,37.803535621,-122.300223664,2.88
2015-07-07T15:56:21.000+00:00,37.803541082,-122.300233829,2.6
2015-07-07T15:56:22.000+00:00,37.803544519,-122.300242646,2.32
2015-07-07T15:56:23.000+00:00,37.803549532,-122.30025158,2.05
2015-07-07T15:56:24.000+00:00,37.803558435,-122.300263271,2.37
2015-07-07T15:56:25.000+00:00,37.803567718,-122.300272733,2.28
2015-07-07T15:56:26.000+00:00,37.803579062,-122.300279969,2.28
2015-07-07T15:56:27.000+00:00,37.803593201,-122.300287157,2.05
2015-07-07T15:56:28.000+00:00,37.803603926,-122.30029176,1.83
2015-07-07T15:56:29.000+00:00,37.803613989,-122.300289786,1.62
2015-07-07T15:56:30.000+00:00,37.803625248,-122.300284385,1.45
2015-07-07T15:56:31.000+00:00,37.803635336,-122.300279182,1.41
2015-07-07T15:56:32.000+00:00,37.803642482,-122.300273187,1.41
2015-07-07T15:56:33.000+00:00,37.803649881,-122.300266348,1.37
2015-07-07T15:56:34.000+00:00,37.803657875,-122.30026005,2.01
2015-07-07T15:56:35.000+00:00,37.803666234,-122.300256436,2.6
